,name,long_name,name_odessa,unit,domain,strategy,dimension,index
3,m_lml_low_pl,mass of light metal layer located in lower plenum,357,[kg],lower_plenum,sensor,none,
4,m_hml_low_pl,mass of heavy metal layer located in lower plenum,358,[kg],lower_plenum,sensor,none,
5,m_deb_low_pl,mass of debris located in lower plenum,359,[kg],lower_plenum,sensor,none,
0,Q_m_dc,vessel downcomer liquid mass flowrate,4,[kg/s],vessel_general,sensor,none,
1,l_H20_vessel,vessel water level,15,[%],vessel_general,sensor,none,
2,m_liq_vessel,vessel liquid mass,16,[kg],vessel_general,sensor,none,
3,m_steam_vessel,vessel steam mass,17,[kg],vessel_general,sensor,none,
4,m_prod_H2_vessel,vessel H2 mass production,19,[kg],vessel_general,sensor,none,
5,m_cum_H2_vessel,vessel H2 mass cumulated mass,20,[kg],vessel_general,sensor,none,
6,m_magma_tot_vessel,total mass of magma located in core vessel,353,[kg],vessel_general,sensor,none,
7,m_debris_vessel,total mass of debris located in core vessel,354,[kg],vessel_general,sensor,none,
8,Q_A_vessel_rcs,activity release rate from VESSEL to RCS,364,[Bq/h],vessel_general,sensor,none,
9,m_magma_vessel,vessel magma mass,magma_id,[kg],vessel_general,vessel_magma_debris,mesh,
10,m_debris_0_vessel,vessel debris 0 mass,debris_id_0,[kg],vessel_general,vessel_magma_debris,mesh,
11,m_debris_1_vessel,vessel debris 1 mass,debris_id_1,[kg],vessel_general,vessel_magma_debris,mesh,
12,T_comp_clad,clad component temperature,T,[K],vessel_general,vessel_clad,component,
13,T_comp_fuel,fuel component temperature,T,[K],vessel_general,vessel_fuel,component,
14,FP_A_heat,total activity in a domain,ACTISUM,[Bq],vessel_general,fp_heat_vessel,none,
15,state_clad,component state of cladding (0-4),STAT,[-],vessel_general,vessel_clad_stat,component,
16,state_fuel,component state of fuel (0-4),STAT,[-],vessel_general,vessel_fuel_stat,component,
0,Q_m_liq_face,liquid mass flow rate,q_m_liq,[kg/s],vessel_face,vessel_face_ther,face,
1,V_gas_face,gas velocity in face of vessel,v_gas,[m/s],vessel_face,vessel_face_ther,face,
2,V_liq_face,liquid velocity in face of vessel,v_liq,[m/s],vessel_face,vessel_face_ther,face,
0,m_cum_H2,H2 cumulated mass produced in the core,PRODH2,[kg],vessel_general,vessel_general,none,
1,sat_core_mesh,maximum saturation in the core meshes (>=0 / <=1.0),SATUMX,[-],vessel_general,vessel_general,none,
2,m_tot_cor,corium mass in the core,TOTMAMAG,[kg],vessel_general,vessel_general,none,
3,m_tot_deb,debris mass in the core,TOTMADEB,[kg],vessel_general,vessel_general,none,
0,P_vessel,pressure in the vessel,P,[Pa],vessel_mesh,vessel_mesh_ther,mesh,
1,P_H2_vessel,pressure of hydrogen in the vessel,P_h2,[Pa],vessel_mesh,vessel_mesh_ther,mesh,
2,P_steam_vessel,pressure of steam in the vessel,P_steam,[Pa],vessel_mesh,vessel_mesh_ther,mesh,
3,T_gas_vessel,gaseous phase temperature,T_gas,[K],vessel_mesh,vessel_mesh_ther,mesh,
4,T_liq_vessel,liquid phase temperature,T_liq,[K],vessel_mesh,vessel_mesh_ther,mesh,
5,T_sat_vessel,saturation temperature,T_sat,[K],vessel_mesh,vessel_mesh_ther,mesh,
6,m_gas_vessel,mass of gaseous phase in the volume,m_gas,[kg],vessel_mesh,vessel_mesh_ther,mesh,
7,m_liq_vessel_mesh,mass of liquid phase in the volume,m_liq,[kg],vessel_mesh,vessel_mesh_ther,mesh,
8,Q_liq_vap_vessel,liquid to vapor flowrate,q_m_list,[kg/s],vessel_mesh,vessel_mesh_ther,mesh,
9,rho_gas_vessel,density of the gaseous phase in the volume,rho_gas,[kg/m3],vessel_mesh,vessel_mesh_ther,mesh,
10,rho_liq_vessel,density of the liquid phase in the volume,rho_liq,[kg/m3],vessel_mesh,vessel_mesh_ther,mesh,
11,x_alfa_vessel,void fraction,x_alfa,[-],vessel_mesh,vessel_mesh_ther,mesh,
12,porosity_vessel,porosity of the mesh with rods (without debris components),POROSITY,[-],vessel_mesh,vessel_mesh,mesh,
13,V_deb_vessel,volume proportion of the 3 debris classes,VOLFDEB,[-],vessel_mesh,vessel_mesh,mesh,
14,V_mag_vessel,volume proportion of the magma,VOLFMAG,[-],vessel_mesh,vessel_mesh,mesh,
0,V_liq_junction_ther,liquid velocity at the junction,v_liq,[m/s],primary_junction,primary_junction_ther,junction,
1,V_gas_junction_ther,gas velocity at the junction,v_gas,[m/s],primary_junction,primary_junction_ther,junction,
2,Q_m_liq_junction_ther,liquid mass flow rate at the junction,q_m_liq,[kg/s],primary_junction,primary_junction_ther,junction,
0,P_primary_pipes,total pressure value in the whole pipe,P,[Pa],primary_pipe,primary_pipe_ther,pipe,
1,T_gas_primary_pipes,gas temperature value in the whole pipe,T_gas,[K],primary_pipe,primary_pipe_ther,pipe,
2,T_liq_primary_pipes,liquid temperature value in the whole pipe,T_liq,bar,primary_pipe,primary_pipe_ther,pipe,
3,V_gas_primary_pipes,gas velocity value in the whole pipe,v_gas,[m/s],primary_pipe,primary_pipe_ther,pipe,
4,x_alfa_primary_pipes,void fraction value in the whole pipe,x_alfa,[],primary_pipe,primary_pipe_ther,pipe,
0,T_gas_primary_volume,gas temperature,T_gas,[K],primary_volume,primary_volume_ther,volume,
1,x_alfa_primary_volume,void fraction,x_alfa,[-],primary_volume,primary_volume_ther,volume,
2,P_steam_primary_volume,steam partial pressure,P_steam,[Pa],primary_volume,primary_volume_ther,volume,
3,P_saturation_primary_volume,saturation pressure,Psat,[Pa],primary_volume,primary_volume_ther,volume,
4,P_H2_primary_volume,hydrogen partial pressure,P_h2,[Pa],primary_volume,primary_volume_ther,volume,
5,P_primary_volume,total pressure,P,[Pa],primary_volume,primary_volume_ther,volume,
