project_dir,found,found_path,search_depth,copied_to_top
/mnt/ASSAS/upload_test/06588471-e050-466a-a497-df72c6c751ba,True,/mnt/ASSAS/upload_test/06588471-e050-466a-a497-df72c6c751ba/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/07105e69-ed30-4b9b-ba47-9fc60a69723f,True,/mnt/ASSAS/upload_test/07105e69-ed30-4b9b-ba47-9fc60a69723f/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/079a631e-1eeb-49ec-ad8b-2e4af6542d9a,True,/mnt/ASSAS/upload_test/079a631e-1eeb-49ec-ad8b-2e4af6542d9a/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/07a2d091-7d75-4ee9-8011-8c0aebd0d4e4,True,/mnt/ASSAS/upload_test/07a2d091-7d75-4ee9-8011-8c0aebd0d4e4/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/07a2e4b4-5bf8-45aa-96f3-8a19e693df6b,True,/mnt/ASSAS/upload_test/07a2e4b4-5bf8-45aa-96f3-8a19e693df6b/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0850bf04-8f33-424f-b231-0a7aeb28f7e6,True,/mnt/ASSAS/upload_test/0850bf04-8f33-424f-b231-0a7aeb28f7e6/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/08531b2e-1a5e-450b-aea1-38d9b6da646c,True,/mnt/ASSAS/upload_test/08531b2e-1a5e-450b-aea1-38d9b6da646c/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0890b02b-00d9-4651-9286-8ff5127fe32e,True,/mnt/ASSAS/upload_test/0890b02b-00d9-4651-9286-8ff5127fe32e/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/08b703fd-6624-44b4-9402-92d47d1433b1,True,/mnt/ASSAS/upload_test/08b703fd-6624-44b4-9402-92d47d1433b1/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/08ed4ae8-1da5-4962-9aea-efc2b1efb171,True,/mnt/ASSAS/upload_test/08ed4ae8-1da5-4962-9aea-efc2b1efb171/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/08f8c911-6528-45e8-8a4a-dbaa4a77e1c5,True,/mnt/ASSAS/upload_test/08f8c911-6528-45e8-8a4a-dbaa4a77e1c5/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0919f854-2269-4f72-908d-516669a2083d,True,/mnt/ASSAS/upload_test/0919f854-2269-4f72-908d-516669a2083d/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/094300b5-1b26-41c6-9e8e-33f01d614d63,True,/mnt/ASSAS/upload_test/094300b5-1b26-41c6-9e8e-33f01d614d63/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0960c7bd-de59-451f-8e92-d22204973b9e,True,/mnt/ASSAS/upload_test/0960c7bd-de59-451f-8e92-d22204973b9e/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/09c16dbd-debd-48e7-800b-f4b5d7bc6e37,True,/mnt/ASSAS/upload_test/09c16dbd-debd-48e7-800b-f4b5d7bc6e37/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/09e497ad-7bff-45d2-a623-1cab9e65b80e,True,/mnt/ASSAS/upload_test/09e497ad-7bff-45d2-a623-1cab9e65b80e/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/09ff2425-03cc-4f56-aac1-49e70bf789ac,True,/mnt/ASSAS/upload_test/09ff2425-03cc-4f56-aac1-49e70bf789ac/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0a0e2314-d698-40ba-afff-945f40b2f533,True,/mnt/ASSAS/upload_test/0a0e2314-d698-40ba-afff-945f40b2f533/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0a3654fb-17d3-4089-8d0c-8d6879a0e53c,True,/mnt/ASSAS/upload_test/0a3654fb-17d3-4089-8d0c-8d6879a0e53c/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0a3d9322-ec34-4119-b486-f6d016e520fa,True,/mnt/ASSAS/upload_test/0a3d9322-ec34-4119-b486-f6d016e520fa/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0a4f132f-209a-48dc-9ccd-11284ade4817,True,/mnt/ASSAS/upload_test/0a4f132f-209a-48dc-9ccd-11284ade4817/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0ab02774-00fd-4d75-8edd-292d21790f4c,True,/mnt/ASSAS/upload_test/0ab02774-00fd-4d75-8edd-292d21790f4c/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0b00213a-b138-4eba-8887-b9286e8a4a23,True,/mnt/ASSAS/upload_test/0b00213a-b138-4eba-8887-b9286e8a4a23/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0b137d0c-d09d-48d3-81c3-d16d882b5c54,True,/mnt/ASSAS/upload_test/0b137d0c-d09d-48d3-81c3-d16d882b5c54/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0b396d42-0439-46cd-8576-3bbe64a8797d,True,/mnt/ASSAS/upload_test/0b396d42-0439-46cd-8576-3bbe64a8797d/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0b9c3bba-b2bf-4078-8cae-44d8aee39bca,True,/mnt/ASSAS/upload_test/0b9c3bba-b2bf-4078-8cae-44d8aee39bca/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0bd19f9e-f32a-43d9-9843-f6cc28a0e36b,True,/mnt/ASSAS/upload_test/0bd19f9e-f32a-43d9-9843-f6cc28a0e36b/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0bea3c9a-416c-4fd8-afe4-75b725555cf4,True,/mnt/ASSAS/upload_test/0bea3c9a-416c-4fd8-afe4-75b725555cf4/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0c38b5f8-441f-4636-aae2-289e5dccfff3,True,/mnt/ASSAS/upload_test/0c38b5f8-441f-4636-aae2-289e5dccfff3/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0c9ddd08-24eb-4514-94ac-a45d4be3ae54,True,/mnt/ASSAS/upload_test/0c9ddd08-24eb-4514-94ac-a45d4be3ae54/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0cca0212-4fc6-4819-91e2-d79701c63924,True,/mnt/ASSAS/upload_test/0cca0212-4fc6-4819-91e2-d79701c63924/upload_info.pickle,0,False
