name,long_name,name_odessa,unit,domain,strategy,dimension
Q_H2_cavity,hydrogen mass flow rate of cavity generated by MCCI,284,[kg/s],cavity,sensor,sensor
T_cavity,temperature of cavity zone,285,[K],cavity,sensor,sensor
m_cavity,mass of the corium in cavity zone,286,[kg],cavity,sensor,sensor
T_cavity_cor,temperature of cavity corium,287,[K],cavity,sensor,sensor
m_oxyde_cavity,mass of oxyde layer located in cavity,360,[kg],cavity,sensor,sensor
m_crust_cavity,mass of crust layer located in cavity,361,[kg],cavity,sensor,sensor
axial_cavity_erosion,axial cavity erosion,362,[m],cavity,sensor,sensor
radial_cavity_erosion,radial cavity erosion (maximum on all levels),363,[m],cavity,sensor,sensor
