name,long_name,name_odessa,unit,domain,strategy,dimension,index
m_cum_fp_Ac_connecti_flow,cumulative total mass of Ac,SOURCE 4:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Ag_connecti_flow,mean mass flowrate of Ag,SOURCE 5:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Ag_connecti_flow,cumulative total mass of Ag,SOURCE 5:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Am_connecti_flow,mean mass flowrate of Am,SOURCE 6:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Am_connecti_flow,cumulative total mass of Am,SOURCE 6:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_As_connecti_flow,mean mass flowrate of As,SOURCE 7:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_As_connecti_flow,cumulative total mass of As,SOURCE 7:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Ba_connecti_flow,mean mass flowrate of Ba,SOURCE 8:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Ba_connecti_flow,cumulative total mass of Ba,SOURCE 8:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Br_connecti_flow,mean mass flowrate of Br,SOURCE 9:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Br_connecti_flow,cumulative total mass of Br,SOURCE 9:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Cd_connecti_flow,mean mass flowrate of Cd,SOURCE 10:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Cd_connecti_flow,cumulative total mass of Cd,SOURCE 10:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Ce_connecti_flow,mean mass flowrate of Ce,SOURCE 11:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Ce_connecti_flow,cumulative total mass of Ce,SOURCE 11:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Cm_connecti_flow,mean mass flowrate of Cm,SOURCE 12:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Cm_connecti_flow,cumulative total mass of Cm,SOURCE 12:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Cs_connecti_flow,mean mass flowrate of Cs,SOURCE 13:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Cs_connecti_flow,cumulative total mass of Cs,SOURCE 13:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Cu_connecti_flow,mean mass flowrate of Cu,SOURCE 14:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Cu_connecti_flow,cumulative total mass of Cu,SOURCE 14:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Dy_connecti_flow,mean mass flowrate of Dy,SOURCE 15:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Dy_connecti_flow,cumulative total mass of Dy,SOURCE 15:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Er_connecti_flow,mean mass flowrate of Er,SOURCE 16:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Er_connecti_flow,cumulative total mass of Er,SOURCE 16:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Eu_connecti_flow,mean mass flowrate of Eu,SOURCE 17:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Eu_connecti_flow,cumulative total mass of Eu,SOURCE 17:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Ga_connecti_flow,mean mass flowrate of Ga,SOURCE 18:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Ga_connecti_flow,cumulative total mass of Ga,SOURCE 18:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Gd_connecti_flow,mean mass flowrate of Gd,SOURCE 19:QMAV,[kg/s],connection_fp,connection_flow_fp,none
