name,long_name,name_odessa,unit,domain,strategy,dimension
Q_H2_cavity,hydrogen mass flow rate of cavity generated by MCCI,284,[kg/s],cavity,sensor,none
T_cavity,temperature of cavity zone,285,[K],cavity,sensor,none
m_cavity,mass of the corium in cavity zone,286,[kg],cavity,sensor,none
T_cavity_cor,temperature of cavity corium,287,[K],cavity,sensor,none
m_oxide_cavity,mass of oxide layer located in cavity,360,[kg],cavity,sensor,none
m_crust_cavity,mass of crust layer located in cavity,361,[kg],cavity,sensor,none
axial_cavity_erosion,axial cavity erosion,362,[m],cavity,sensor,none
radial_cavity_erosion,radial cavity erosion (maximum on all levels),363,[m],cavity,sensor,none
